Campaign,Ad Group,Keyword,Match Type,Status,Max CPC,Final URL
NS-SRCH-Locksmith,Core-Intent,מנעולן קרוב אלי,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,מנעולן קרוב אלי,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,נעלתי את עצמי בחוץ,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,נעלתי את עצמי בחוץ,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,ננעלתי מחוץ לבית,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,ננעלתי מחוץ לבית,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,פריצת דלת,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,פריצת דלת,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,פורץ דלתות,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,פורץ דלתות,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,החלפת צילינדר,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,החלפת צילינדר,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,החלפת מנעול,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,החלפת מנעול,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,מנעולן דחוף,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,מנעולן דחוף,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,דלת נטרקה,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,דלת נטרקה,Exact,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
NS-SRCH-Locksmith,Core-Intent,אבדתי מפתחות,Phrase,Enabled,18,https://nisan-shemaryahu.vercel.app/מנעולן
